# POD-FFT Spectral Analysis
# nfft =     64, noverlap =     48, nblk =      3, nfreq =     33, dSt =   0.3125E-01
# Peak frequencies (excluding DC):
#   Mode  1: St =   0.1562, power =   0.7878E+01
#   Mode  2: St =   0.1562, power =   0.7909E+01
#   Mode  3: St =   0.3438, power =   0.1205E+00
#   Mode  4: St =   0.3438, power =   0.1208E+00
#   Mode  5: St =   0.5000, power =   0.6530E-01
#   Mode  6: St =   0.5000, power =   0.6532E-01
#   Mode  7: St =   0.6562, power =   0.3699E-02
#   Mode  8: St =   0.6562, power =   0.3688E-02
#   Mode  9: St =   0.8438, power =   0.5644E-03
#   Mode 10: St =   0.8438, power =   0.5446E-03
# St  P_mode  1  P_mode  2  P_mode  3  P_mode  4  P_mode  5  P_mode  6  P_mode  7  P_mode  8  P_mode  9  P_mode 10
  0.593750E+00  0.121344E-03  0.127173E-03  0.530192E-05  0.677062E-05  0.183242E-06  0.219186E-06  0.102888E-06  0.110444E-06  0.566671E-07  0.606390E-07
  0.625000E+00  0.104285E-03  0.109955E-03  0.381155E-05  0.477162E-05  0.375956E-05  0.295650E-05  0.301570E-03  0.302036E-03  0.206717E-06  0.757393E-07
  0.656250E+00  0.112903E-03  0.109882E-03  0.482440E-05  0.358313E-05  0.447981E-06  0.382360E-06  0.369917E-02  0.368828E-02  0.155228E-05  0.674371E-06
  0.687500E+00  0.885364E-04  0.921205E-04  0.216230E-05  0.492742E-05  0.599053E-06  0.257310E-06  0.149241E-02  0.149030E-02  0.789508E-06  0.260930E-06
  0.718750E+00  0.866162E-04  0.100364E-03  0.285994E-05  0.327165E-05  0.293575E-06  0.211936E-06  0.509208E-05  0.496808E-05  0.118147E-06  0.153759E-06
  0.750000E+00  0.807161E-04  0.808101E-04  0.266398E-05  0.303130E-05  0.919848E-06  0.620758E-06  0.206249E-07  0.352904E-07  0.261562E-07  0.157410E-07
  0.781250E+00  0.885374E-04  0.941951E-04  0.215075E-05  0.257698E-05  0.432056E-06  0.101523E-06  0.769774E-07  0.403713E-07  0.977587E-05  0.934431E-05
  0.812500E+00  0.800955E-04  0.718021E-04  0.191965E-05  0.384569E-05  0.344283E-06  0.963108E-07  0.578617E-06  0.208934E-06  0.502525E-03  0.496731E-03
  0.843750E+00  0.708117E-04  0.886368E-04  0.202100E-05  0.203627E-05  0.344140E-06  0.225635E-06  0.243385E-06  0.199931E-06  0.564419E-03  0.544629E-03
  0.875000E+00  0.705090E-04  0.669120E-04  0.202695E-05  0.245027E-05  0.293807E-06  0.202885E-06  0.111391E-06  0.116142E-06  0.152677E-04  0.148999E-04
  0.906250E+00  0.736873E-04  0.868765E-04  0.182946E-05  0.190615E-05  0.410663E-06  0.111193E-06  0.803420E-07  0.478638E-07  0.362289E-07  0.456291E-07
  0.937500E+00  0.781537E-04  0.634864E-04  0.161284E-05  0.373484E-05  0.210996E-06  0.147481E-07  0.776207E-07  0.102714E-06  0.157205E-07  0.393310E-07
  0.968750E+00  0.674295E-04  0.849895E-04  0.180085E-05  0.172599E-05  0.365711E-06  0.142609E-06  0.152804E-06  0.148594E-06  0.204302E-06  0.154575E-06
  0.100000E+01  0.169051E-04  0.156862E-04  0.464011E-06  0.569934E-06  0.423697E-07  0.310857E-07  0.167579E-07  0.181151E-06  0.410870E-07  0.681940E-07
